id,name,link,score,user_id,timestamp
1064,What is DAI Stablecoin,,1.0,kinha,2024-11-14 17:31:22
1062,Did you miss out on $PEPE   People turned $100 into $1 million in the past 30 day,,0.8430409011457606,kinha,2024-11-14 17:31:22
1066,Silicon Valley Bank has sent shockwaves through the crypto world by causing $USDC to depeg.,,0.832308055183172,kinha,2024-11-14 17:31:22
1065,"Why Should I Buy $BNB === People always ask WHEN a good time to buy crypto is, but they should really be asking WHY they should",,0.8292309110372703,kinha,2024-11-14 17:31:22
159,,,0.6123677170259173,kinha,2024-11-14 17:31:22
560,,,0.5325935735052316,kinha,2024-11-14 17:31:22
1088,Big News_ Blackrock's Ethereum ETF Likely to Be Approved in July! This will cause a big pump for the crypto market so now is the tike to front run #cryptonews #ethereum #eth #fyp #foryou #CapCut,,0.32553656819393945,kinha,2024-11-14 17:31:22
549,,,0.31581721651873196,kinha,2024-11-14 17:31:22
173,,,0.294835958012246,kinha,2024-11-14 17:31:22
44,escape the matrix,,0.29202309733035337,kinha,2024-11-14 17:31:22
